Measurement,Column,Plate,Well,Row,Sample,Value,Mean,Std
Meas A,2,1_11937,A02,A,1M_CAA,154.0,306.0000,139.9595
Meas A,3,1_11937,A03,A,2M_CAA,133.0,290.0000,124.2632
Meas A,4,1_11937,A04,A,3M_CAA,126.0,322.5000,141.4885
Meas A,5,1_11937,A05,A,1P_CAA,149.0,322.2500,120.4834
Meas A,6,1_11937,A06,A,2P_CAA,169.0,304.0000,100.1699
Meas A,7,1_11937,A07,A,3P_CAA,108.0,303.0000,135.7891
Meas A,8,1_11937,A08,A,1S_CAA,167.0,312.5000,103.0809
Meas A,9,1_11937,A09,A,2S_CAA,138.0,309.2500,131.9378
Meas A,10,1_11937,A10,A,3S_CAA,118.0,324.0000,153.7119
Meas A,11,1_11937,A11,A,CAA_Spc,128.0,317.0000,133.1115
Meas A,2,1_11937,B02,B,1M_Glc,215.0,352.2500,107.9487
Meas A,3,1_11937,B03,B,2M_Glc,123.0,307.5000,124.5592
Meas A,4,1_11937,B04,B,3M_Glc,91.0,310.0000,162.4705
Meas A,5,1_11937,B05,B,1P_Glc,157.0,311.0000,125.7537
Meas A,6,1_11937,B06,B,2P_Glc,99.0,295.2500,133.6697
Meas A,7,1_11937,B07,B,3P_Glc,150.0,313.7500,110.8313
Meas A,8,1_11937,B08,B,1S_Glc,189.0,330.5000,118.4863
Meas A,9,1_11937,B09,B,2S_Glc,178.0,334.2500,131.8493
Meas A,10,1_11937,B10,B,3S_Glc,57.0,278.0000,149.5393
Meas A,11,1_11937,B11,B,Glc_Spc,150.0,299.2500,110.9996
Meas A,2,1_11937,C02,C,1M-O_CAA,104.0,314.7500,144.9307
Meas A,3,1_11937,C03,C,2M-O_CAA,106.0,325.2500,156.9785
Meas A,4,1_11937,C04,C,3M-O_CAA,153.0,358.5000,138.9736
Meas A,5,1_11937,C05,C,1P-O_CAA,161.0,341.0000,144.2521
Meas A,6,1_11937,C06,C,2P-O_CAA,122.0,356.5000,157.0191
Meas A,7,1_11937,C07,C,3P-O_CAA,149.0,292.7500,105.4905
Meas A,8,1_11937,C08,C,1S-O_CAA,158.0,327.0000,113.4225
Meas A,9,1_11937,C09,C,2S-O_CAA,130.0,303.2500,121.7823
Meas A,10,1_11937,C10,C,3S-O_CAA,168.0,321.7500,106.3026
Meas A,11,1_11937,C11,C,CAA,112.0,314.5000,142.6149
Meas A,2,1_11937,D02,D,1M-O_Glc,101.0,337.5000,160.4005
Meas A,3,1_11937,D03,D,2M-O_Glc,106.0,297.5000,134.6365
Meas A,4,1_11937,D04,D,3M-O_Glc,113.0,323.7500,144.4239
Meas A,5,1_11937,D05,D,1P-O_Glc,159.0,304.0000,106.1854
Meas A,6,1_11937,D06,D,2P-O_Glc,161.0,348.7500,128.6918
Meas A,7,1_11937,D07,D,3P-O_Glc,140.0,325.5000,129.6521
Meas A,8,1_11937,D08,D,1S-O_Glc,151.0,335.7500,130.0035
Meas A,9,1_11937,D09,D,2S-O_Glc,129.0,282.2500,121.1483
Meas A,10,1_11937,D10,D,3S-O_Glc,149.0,328.2500,132.4950
Meas A,11,1_11937,D11,D,Glc,83.0,314.2500,157.3391
Meas A,2,1_11937,E02,E,1M-M_CAA,130.0,360.7500,162.0563
Meas A,3,1_11937,E03,E,2M-M_CAA,176.0,325.7500,106.0515
Meas A,4,1_11937,E04,E,3M-M_CAA,140.0,321.0000,126.0238
Meas A,5,1_11937,E05,E,1P-M_CAA,65.0,310.2500,171.4592
Meas A,6,1_11937,E06,E,2P-M_CAA,112.0,351.7500,177.9558
Meas A,7,1_11937,E07,E,3P-M_CAA,158.0,337.7500,124.2481
Meas A,8,1_11937,E08,E,1S-M_CAA,104.0,300.5000,145.8687
Meas A,9,1_11937,E09,E,2S-M_CAA,118.0,325.0000,140.0238
Meas A,10,1_11937,E10,E,3S-M_CAA,77.0,304.2500,151.8055
Meas A,2,1_11937,F02,F,1M-M_Glc,123.0,328.5000,158.1697
Meas A,3,1_11937,F03,F,2M-M_Glc,151.0,347.7500,147.8814
Meas A,4,1_11937,F04,F,3M-M_Glc,151.0,327.0000,118.4370
Meas A,5,1_11937,F05,F,1P-M_Glc,164.0,324.0000,125.7961
Meas A,6,1_11937,F06,F,2P-M_Glc,128.0,338.0000,148.2093
Meas A,7,1_11937,F07,F,3P-M_Glc,175.0,309.5000,100.9967
Meas A,8,1_11937,F08,F,1S-M_Glc,116.0,317.0000,135.8111
Meas A,9,1_11937,F09,F,2S-M_Glc,158.0,325.5000,115.7425
Meas A,10,1_11937,F10,F,3S-M_Glc,115.0,347.5000,159.1153
Meas A,2,1_11937,G02,G,1M-H_CAA,174.0,315.7500,103.8986
Meas A,3,1_11937,G03,G,2M-H_CAA,117.0,343.2500,154.9244
Meas A,4,1_11937,G04,G,3M-H_CAA,204.0,358.2500,106.7157
Meas A,5,1_11937,G05,G,1P-H_CAA,131.0,279.2500,106.1771
Meas A,6,1_11937,G06,G,2P-H_CAA,145.0,294.0000,113.9971
Meas A,7,1_11937,G07,G,3P-H_CAA,108.0,312.5000,139.4812
Meas A,8,1_11937,G08,G,1S-H_CAA,210.0,356.2500,98.8142
Meas A,9,1_11937,G09,G,2S-H_CAA,89.0,313.5000,151.5311
Meas A,10,1_11937,G10,G,3S-H_CAA,127.0,336.5000,141.9260
Meas A,2,1_11937,H02,H,1M-H_Glc,105.0,318.5000,149.2124
Meas A,3,1_11937,H03,H,2M-H_Glc,59.0,266.7500,143.2303
Meas A,4,1_11937,H04,H,3M-H_Glc,95.0,294.7500,141.8929
Meas A,5,1_11937,H05,H,1P-H_Glc,126.0,320.5000,131.5358
Meas A,6,1_11937,H06,H,2P-H_Glc,189.0,317.2500,104.3468
Meas A,7,1_11937,H07,H,3P-H_Glc,110.0,315.7500,140.7228
Meas A,8,1_11937,H08,H,1S-H_Glc,196.0,318.5000,91.3072
Meas A,9,1_11937,H09,H,2S-H_Glc,118.0,307.5000,126.4239
Meas A,10,1_11937,H10,H,3S-H_Glc,128.0,316.2500,130.5230
Meas B,2,1_11937,A02,A,1M_CAA,0.048,0.0485,0.0013
Meas B,3,1_11937,A03,A,2M_CAA,0.047,0.0475,0.0010
Meas B,4,1_11937,A04,A,3M_CAA,0.051,0.0473,0.0026
Meas B,5,1_11937,A05,A,1P_CAA,0.05,0.0483,0.0022
Meas B,6,1_11937,A06,A,2P_CAA,0.045,0.0447,0.0005
Meas B,7,1_11937,A07,A,3P_CAA,0.046,0.0450,0.0008
Meas B,8,1_11937,A08,A,1S_CAA,0.048,0.0473,0.0005
Meas B,9,1_11937,A09,A,2S_CAA,0.049,0.0483,0.0010
Meas B,10,1_11937,A10,A,3S_CAA,0.048,0.0462,0.0015
Meas B,11,1_11937,A11,A,CAA_Spc,0.042,0.0398,0.0017
Meas B,2,1_11937,B02,B,1M_Glc,0.043,0.0427,0.0010
Meas B,3,1_11937,B03,B,2M_Glc,0.041,0.0432,0.0029
Meas B,4,1_11937,B04,B,3M_Glc,0.041,0.0418,0.0010
Meas B,5,1_11937,B05,B,1P_Glc,0.042,0.0447,0.0041
Meas B,6,1_11937,B06,B,2P_Glc,0.042,0.0440,0.0039
Meas B,7,1_11937,B07,B,3P_Glc,0.043,0.0425,0.0013
Meas B,8,1_11937,B08,B,1S_Glc,0.043,0.0425,0.0006
Meas B,9,1_11937,B09,B,2S_Glc,0.043,0.0432,0.0005
Meas B,10,1_11937,B10,B,3S_Glc,0.044,0.0425,0.0013
Meas B,11,1_11937,B11,B,Glc_Spc,0.039,0.0393,0.0021
Meas B,2,1_11937,C02,C,1M-O_CAA,0.046,0.0455,0.0006
Meas B,3,1_11937,C03,C,2M-O_CAA,0.047,0.0462,0.0017
Meas B,4,1_11937,C04,C,3M-O_CAA,0.044,0.0435,0.0006
Meas B,5,1_11937,C05,C,1P-O_CAA,0.045,0.0460,0.0034
Meas B,6,1_11937,C06,C,2P-O_CAA,0.043,0.0427,0.0005
Meas B,7,1_11937,C07,C,3P-O_CAA,0.045,0.0445,0.0006
Meas B,8,1_11937,C08,C,1S-O_CAA,0.047,0.0457,0.0010
Meas B,9,1_11937,C09,C,2S-O_CAA,0.046,0.0455,0.0006
Meas B,10,1_11937,C10,C,3S-O_CAA,0.048,0.0460,0.0014
Meas B,11,1_11937,C11,C,CAA,0.04,0.0390,0.0008
Meas B,2,1_11937,D02,D,1M-O_Glc,0.042,0.0423,0.0005
Meas B,3,1_11937,D03,D,2M-O_Glc,0.041,0.0423,0.0019
Meas B,4,1_11937,D04,D,3M-O_Glc,0.041,0.0413,0.0013
Meas B,5,1_11937,D05,D,1P-O_Glc,0.04,0.0418,0.0013
Meas B,6,1_11937,D06,D,2P-O_Glc,0.04,0.0413,0.0019
Meas B,7,1_11937,D07,D,3P-O_Glc,0.04,0.0410,0.0014
Meas B,8,1_11937,D08,D,1S-O_Glc,0.044,0.0430,0.0008
Meas B,9,1_11937,D09,D,2S-O_Glc,0.041,0.0418,0.0010
Meas B,10,1_11937,D10,D,3S-O_Glc,0.041,0.0425,0.0013
Meas B,11,1_11937,D11,D,Glc,0.038,0.0400,0.0018
Meas B,2,1_11937,E02,E,1M-M_CAA,0.043,0.0435,0.0010
Meas B,3,1_11937,E03,E,2M-M_CAA,0.045,0.0442,0.0010
Meas B,4,1_11937,E04,E,3M-M_CAA,0.042,0.0427,0.0010
Meas B,5,1_11937,E05,E,1P-M_CAA,0.041,0.0410,0.0008
Meas B,6,1_11937,E06,E,2P-M_CAA,0.043,0.0420,0.0008
Meas B,7,1_11937,E07,E,3P-M_CAA,0.042,0.0427,0.0005
Meas B,8,1_11937,E08,E,1S-M_CAA,0.044,0.0435,0.0006
Meas B,9,1_11937,E09,E,2S-M_CAA,0.049,0.0457,0.0022
Meas B,10,1_11937,E10,E,3S-M_CAA,0.046,0.0447,0.0010
Meas B,2,1_11937,F02,F,1M-M_Glc,0.042,0.0420,0.0014
Meas B,3,1_11937,F03,F,2M-M_Glc,0.043,0.0432,0.0013
Meas B,4,1_11937,F04,F,3M-M_Glc,0.041,0.0418,0.0010
Meas B,5,1_11937,F05,F,1P-M_Glc,0.041,0.0408,0.0010
Meas B,6,1_11937,F06,F,2P-M_Glc,0.041,0.0410,0.0008
Meas B,7,1_11937,F07,F,3P-M_Glc,0.04,0.0408,0.0010
Meas B,8,1_11937,F08,F,1S-M_Glc,0.042,0.0418,0.0010
Meas B,9,1_11937,F09,F,2S-M_Glc,0.043,0.0442,0.0046
