Sample,Nominator_Plate,Nominator_Well,Nominator_Measurement,Nominator_Value,Denominator_Sample,Denominator_Plate,Denominator_Well,Denominator_Measurement,Denominator_Value,Ratio,Ratio_Mean,Ratio_Std
1M_CAA,1_11944,A02,Meas A,560.0000,1M_CAA,1_11944,A02,Meas B,0.2340,2393.1624,2671.3731,482.5770
2M_CAA,1_11944,A03,Meas A,735.0000,2M_CAA,1_11944,A03,Meas B,0.2100,3500.0000,4347.8759,865.4118
3M_CAA,1_11944,A04,Meas A,490.0000,3M_CAA,1_11944,A04,Meas B,0.2210,2217.1946,2569.9421,380.4548
1P_CAA,1_11944,A05,Meas A,427.0000,1P_CAA,1_11944,A05,Meas B,0.1720,2482.5581,3573.1961,960.6124
2P_CAA,1_11944,A06,Meas A,479.0000,2P_CAA,1_11944,A06,Meas B,0.1760,2721.5909,3717.1756,859.7650
3P_CAA,1_11944,A07,Meas A,415.0000,3P_CAA,1_11944,A07,Meas B,0.1820,2280.2198,2892.1083,874.7672
1S_CAA,1_11944,A08,Meas A,571.0000,1S_CAA,1_11944,A08,Meas B,0.2080,2745.1923,3047.1006,495.0941
2S_CAA,1_11944,A09,Meas A,837.0000,2S_CAA,1_11944,A09,Meas B,0.2200,3804.5455,3846.1739,526.1135
3S_CAA,1_11944,A10,Meas A,435.0000,3S_CAA,1_11944,A10,Meas B,0.1950,2230.7692,2544.2280,292.5074
CAA_Spc,1_11944,A11,Meas A,329.0000,CAA_Spc,1_11944,A11,Meas B,0.0360,9138.8889,9874.5574,1273.1378
1M_Glc,1_11944,B02,Meas A,349.0000,1M_Glc,1_11944,B02,Meas B,0.0460,7586.9565,8462.1062,2740.4955
2M_Glc,1_11944,B03,Meas A,435.0000,2M_Glc,1_11944,B03,Meas B,0.0500,8700.0000,9086.1333,2149.9353
3M_Glc,1_11944,B04,Meas A,322.0000,3M_Glc,1_11944,B04,Meas B,0.0460,7000.0000,9094.5960,2489.7957
1P_Glc,1_11944,B05,Meas A,370.0000,1P_Glc,1_11944,B05,Meas B,0.0450,8222.2222,9702.2104,2885.5205
2P_Glc,1_11944,B06,Meas A,298.0000,2P_Glc,1_11944,B06,Meas B,0.0440,6772.7273,9426.3834,4098.3023
3P_Glc,1_11944,B07,Meas A,406.0000,3P_Glc,1_11944,B07,Meas B,0.0490,8285.7143,8983.0777,2979.8738
1S_Glc,1_11944,B08,Meas A,406.0000,1S_Glc,1_11944,B08,Meas B,0.0470,8638.2979,9588.6942,2798.5952
2S_Glc,1_11944,B09,Meas A,416.0000,2S_Glc,1_11944,B09,Meas B,0.0520,8000.0000,7932.7020,1806.5511
3S_Glc,1_11944,B10,Meas A,412.0000,3S_Glc,1_11944,B10,Meas B,0.0440,9363.6364,9190.6022,1787.6518
Glc_Spc,1_11944,B11,Meas A,306.0000,Glc_Spc,1_11944,B11,Meas B,0.0400,7650.0000,10040.2151,4106.5673
1M-O_CAA,1_11944,C02,Meas A,602.0000,1M-O_CAA,1_11944,C02,Meas B,0.2120,2839.6226,3074.7850,319.0768
2M-O_CAA,1_11944,C03,Meas A,592.0000,2M-O_CAA,1_11944,C03,Meas B,0.2160,2740.7407,3034.0173,569.0498
3M-O_CAA,1_11944,C04,Meas A,478.0000,3M-O_CAA,1_11944,C04,Meas B,0.2010,2378.1095,2919.4924,545.4325
1P-O_CAA,1_11944,C05,Meas A,609.0000,1P-O_CAA,1_11944,C05,Meas B,0.1600,3806.2500,4122.9246,1263.4375
2P-O_CAA,1_11944,C06,Meas A,419.0000,2P-O_CAA,1_11944,C06,Meas B,0.1200,3491.6667,4449.2806,1325.8072
3P-O_CAA,1_11944,C07,Meas A,497.0000,3P-O_CAA,1_11944,C07,Meas B,0.1860,2672.0430,3345.8005,598.4740
