Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,2_11954,A,2,A02,Meas A,318.0
2S-H_Glc,2_11954,A,3,A03,Meas A,248.0
1S-H_Glc,2_11954,A,4,A04,Meas A,386.0
3P-H_Glc,2_11954,A,5,A05,Meas A,451.0
2P-H_Glc,2_11954,A,6,A06,Meas A,292.0
1P-H_Glc,2_11954,A,7,A07,Meas A,457.0
3M-H_Glc,2_11954,A,8,A08,Meas A,345.0
2M-H_Glc,2_11954,A,9,A09,Meas A,363.0
1M-H_Glc,2_11954,A,10,A10,Meas A,329.0
Glc_Spc,2_11954,A,11,A11,Meas A,317.0
3S-H_CAA,2_11954,B,2,B02,Meas A,728.0
2S-H_CAA,2_11954,B,3,B03,Meas A,423.0
1S-H_CAA,2_11954,B,4,B04,Meas A,1024.0
3P-H_CAA,2_11954,B,5,B05,Meas A,761.0
2P-H_CAA,2_11954,B,6,B06,Meas A,278.0
1P-H_CAA,2_11954,B,7,B07,Meas A,903.0
3M-H_CAA,2_11954,B,8,B08,Meas A,697.0
2M-H_CAA,2_11954,B,9,B09,Meas A,696.0
1M-H_CAA,2_11954,B,10,B10,Meas A,1007.0
CAA_Spc,2_11954,B,11,B11,Meas A,304.0
3S-M_Glc,2_11954,C,2,C02,Meas A,389.0
2S-M_Glc,2_11954,C,3,C03,Meas A,384.0
1S-M_CAA,2_11954,C,4,C04,Meas A,1394.0
3P-M_Glc,2_11954,C,5,C05,Meas A,362.0
2P-M_Glc,2_11954,C,6,C06,Meas A,374.0
1P-M_Glc,2_11954,C,7,C07,Meas A,329.0
3M-M_Glc,2_11954,C,8,C08,Meas A,288.0
2M-M_Glc,2_11954,C,9,C09,Meas A,326.0
1M-M_Glc,2_11954,C,10,C10,Meas A,381.0
Glc,2_11954,C,11,C11,Meas A,221.0
3S-M_CAA,2_11954,D,2,D02,Meas A,729.0
2S-M_CAA,2_11954,D,3,D03,Meas A,568.0
1S-M_Glc,2_11954,D,4,D04,Meas A,337.0
3P-M_CAA,2_11954,D,5,D05,Meas A,866.0
2P-M_CAA,2_11954,D,6,D06,Meas A,259.0
1P-M_CAA,2_11954,D,7,D07,Meas A,798.0
3M-M_CAA,2_11954,D,8,D08,Meas A,678.0
2M-M_CAA,2_11954,D,9,D09,Meas A,609.0
1M-M_CAA,2_11954,D,10,D10,Meas A,984.0
CAA,2_11954,D,11,D11,Meas A,402.0
3S-O_Glc,2_11954,E,2,E02,Meas A,518.0
2S-O_Glc,2_11954,E,3,E03,Meas A,385.0
1S-O_Glc,2_11954,E,4,E04,Meas A,388.0
3P-O_Glc,2_11954,E,5,E05,Meas A,300.0
2P-O_Glc,2_11954,E,6,E06,Meas A,406.0
1P-O_Glc,2_11954,E,7,E07,Meas A,158.0
3M-O_Glc,2_11954,E,8,E08,Meas A,393.0
2M-O_Glc,2_11954,E,9,E09,Meas A,393.0
1M-O_Glc,2_11954,E,10,E10,Meas A,460.0
3S-O_CAA,2_11954,F,2,F02,Meas A,1035.0
2S-O_CAA,2_11954,F,3,F03,Meas A,1056.0
1S-O_CAA,2_11954,F,4,F04,Meas A,1364.0
3P-O_CAA,2_11954,F,5,F05,Meas A,1050.0
2P-O_CAA,2_11954,F,6,F06,Meas A,989.0
1P-O_CAA,2_11954,F,7,F07,Meas A,1334.0
3M-O_CAA,2_11954,F,8,F08,Meas A,888.0
2M-O_CAA,2_11954,F,9,F09,Meas A,1013.0
1M-O_CAA,2_11954,F,10,F10,Meas A,1168.0
3S_Glc,2_11954,G,2,G02,Meas A,444.0
2S_Glc,2_11954,G,3,G03,Meas A,522.0
1S_Glc,2_11954,G,4,G04,Meas A,482.0
3P_Glc,2_11954,G,5,G05,Meas A,408.0
2P_Glc,2_11954,G,6,G06,Meas A,398.0
1P_Glc,2_11954,G,7,G07,Meas A,454.0
3M_Glc,2_11954,G,8,G08,Meas A,442.0
2M_Glc,2_11954,G,9,G09,Meas A,554.0
1M_Glc,2_11954,G,10,G10,Meas A,337.0
3S_CAA,2_11954,H,2,H02,Meas A,1008.0
2S_CAA,2_11954,H,3,H03,Meas A,2439.0
1S_CAA,2_11954,H,4,H04,Meas A,1416.0
3P_CAA,2_11954,H,5,H05,Meas A,1000.0
2P_CAA,2_11954,H,6,H06,Meas A,1954.0
1P_CAA,2_11954,H,7,H07,Meas A,1061.0
3M_CAA,2_11954,H,8,H08,Meas A,894.0
2M_CAA,2_11954,H,9,H09,Meas A,2040.0
1M_CAA,2_11954,H,10,H10,Meas A,1166.0
3S-H_Glc,2_11954,A,2,A02,Meas B,0.178
2S-H_Glc,2_11954,A,3,A03,Meas B,0.246
1S-H_Glc,2_11954,A,4,A04,Meas B,0.172
3P-H_Glc,2_11954,A,5,A05,Meas B,0.199
2P-H_Glc,2_11954,A,6,A06,Meas B,0.219
1P-H_Glc,2_11954,A,7,A07,Meas B,0.189
3M-H_Glc,2_11954,A,8,A08,Meas B,0.165
2M-H_Glc,2_11954,A,9,A09,Meas B,0.197
1M-H_Glc,2_11954,A,10,A10,Meas B,0.192
Glc_Spc,2_11954,A,11,A11,Meas B,0.037
3S-H_CAA,2_11954,B,2,B02,Meas B,0.396
2S-H_CAA,2_11954,B,3,B03,Meas B,0.435
1S-H_CAA,2_11954,B,4,B04,Meas B,0.358
3P-H_CAA,2_11954,B,5,B05,Meas B,0.38
2P-H_CAA,2_11954,B,6,B06,Meas B,0.382
1P-H_CAA,2_11954,B,7,B07,Meas B,0.442
3M-H_CAA,2_11954,B,8,B08,Meas B,0.389
2M-H_CAA,2_11954,B,9,B09,Meas B,0.412
1M-H_CAA,2_11954,B,10,B10,Meas B,0.392
CAA_Spc,2_11954,B,11,B11,Meas B,0.035
3S-M_Glc,2_11954,C,2,C02,Meas B,0.179
2S-M_Glc,2_11954,C,3,C03,Meas B,0.171
1S-M_CAA,2_11954,C,4,C04,Meas B,0.39
3P-M_Glc,2_11954,C,5,C05,Meas B,0.162
2P-M_Glc,2_11954,C,6,C06,Meas B,0.199
1P-M_Glc,2_11954,C,7,C07,Meas B,0.165
3M-M_Glc,2_11954,C,8,C08,Meas B,0.203
2M-M_Glc,2_11954,C,9,C09,Meas B,0.193
1M-M_Glc,2_11954,C,10,C10,Meas B,0.16
Glc,2_11954,C,11,C11,Meas B,0.038
3S-M_CAA,2_11954,D,2,D02,Meas B,0.303
