Measurement,Column,Plate,Well,Row,Sample,Value,Mean,Std
Meas A,2,1_11949,A02,A,1M_CAA,608.0,912.2500,227.1099
Meas A,3,1_11949,A03,A,2M_CAA,1160.0,1455.2500,263.1848
Meas A,4,1_11949,A04,A,3M_CAA,385.0,621.0000,190.0737
Meas A,5,1_11949,A05,A,1P_CAA,478.0,815.5000,252.6255
Meas A,6,1_11949,A06,A,2P_CAA,901.0,1045.0000,134.9247
Meas A,7,1_11949,A07,A,3P_CAA,378.0,621.5000,200.6082
Meas A,8,1_11949,A08,A,1S_CAA,802.0,977.0000,166.0863
Meas A,9,1_11949,A09,A,2S_CAA,1510.0,1701.2500,230.8483
Meas A,10,1_11949,A10,A,3S_CAA,383.0,693.5000,227.3917
Meas A,11,1_11949,A11,A,CAA_Spc,60.0,245.5000,160.6207
Meas A,2,1_11949,B02,B,1M_Glc,37.0,300.2500,225.1331
Meas A,3,1_11949,B03,B,2M_Glc,85.0,322.2500,202.1722
Meas A,4,1_11949,B04,B,3M_Glc,111.0,247.5000,186.0206
Meas A,5,1_11949,B05,B,1P_Glc,28.0,224.7500,161.1777
Meas A,6,1_11949,B06,B,2P_Glc,29.0,232.5000,157.6547
Meas A,7,1_11949,B07,B,3P_Glc,36.0,269.0000,198.0690
Meas A,8,1_11949,B08,B,1S_Glc,148.0,285.2500,161.4133
Meas A,9,1_11949,B09,B,2S_Glc,143.0,378.0000,187.9344
Meas A,10,1_11949,B10,B,3S_Glc,67.0,283.5000,205.5764
Meas A,11,1_11949,B11,B,Glc_Spc,72.0,293.5000,219.9098
Meas A,2,1_11949,C02,C,1M-O_CAA,537.0,851.2500,260.9526
Meas A,3,1_11949,C03,C,2M-O_CAA,475.0,796.7500,230.0933
Meas A,4,1_11949,C04,C,3M-O_CAA,414.0,636.0000,235.5985
Meas A,5,1_11949,C05,C,1P-O_CAA,910.0,956.5000,127.6675
Meas A,6,1_11949,C06,C,2P-O_CAA,599.0,773.5000,194.0816
Meas A,7,1_11949,C07,C,3P-O_CAA,459.0,674.7500,190.3652
Meas A,8,1_11949,C08,C,1S-O_CAA,839.0,962.7500,115.0605
Meas A,9,1_11949,C09,C,2S-O_CAA,626.0,832.0000,235.6452
Meas A,10,1_11949,C10,C,3S-O_CAA,647.0,716.7500,115.5462
