Sample,Plate,Row,Column,Well,Measurement,Value
3S-H_Glc,4_11956,A,2,A02,Meas A,419.0
2S-H_Glc,4_11956,A,3,A03,Meas A,369.0
1S-H_Glc,4_11956,A,4,A04,Meas A,554.0
3P-H_Glc,4_11956,A,5,A05,Meas A,477.0
2P-H_Glc,4_11956,A,6,A06,Meas A,406.0
1P-H_Glc,4_11956,A,7,A07,Meas A,591.0
3M-H_Glc,4_11956,A,8,A08,Meas A,571.0
2M-H_Glc,4_11956,A,9,A09,Meas A,404.0
1M-H_Glc,4_11956,A,10,A10,Meas A,527.0
Glc_Spc,4_11956,A,11,A11,Meas A,432.0
3S-H_CAA,4_11956,B,2,B02,Meas A,960.0
2S-H_CAA,4_11956,B,3,B03,Meas A,530.0
1S-H_CAA,4_11956,B,4,B04,Meas A,1121.0
3P-H_CAA,4_11956,B,5,B05,Meas A,885.0
2P-H_CAA,4_11956,B,6,B06,Meas A,362.0
1P-H_CAA,4_11956,B,7,B07,Meas A,1016.0
3M-H_CAA,4_11956,B,8,B08,Meas A,853.0
2M-H_CAA,4_11956,B,9,B09,Meas A,756.0
1M-H_CAA,4_11956,B,10,B10,Meas A,1236.0
CAA_Spc,4_11956,B,11,B11,Meas A,350.0
3S-M_Glc,4_11956,C,2,C02,Meas A,535.0
2S-M_Glc,4_11956,C,3,C03,Meas A,401.0
1S-M_Glc,4_11956,C,4,C04,Meas A,444.0
3P-M_Glc,4_11956,C,5,C05,Meas A,453.0
2P-M_Glc,4_11956,C,6,C06,Meas A,396.0
1P-M_Glc,4_11956,C,7,C07,Meas A,503.0
3M-M_Glc,4_11956,C,8,C08,Meas A,487.0
2M-M_Glc,4_11956,C,9,C09,Meas A,468.0
1M-M_Glc,4_11956,C,10,C10,Meas A,496.0
Glc,4_11956,C,11,C11,Meas A,407.0
3S-M_CAA,4_11956,D,2,D02,Meas A,976.0
2S-M_CAA,4_11956,D,3,D03,Meas A,553.0
1S-M_CAA,4_11956,D,4,D04,Meas A,1493.0
3P-M_CAA,4_11956,D,5,D05,Meas A,789.0
2P-M_CAA,4_11956,D,6,D06,Meas A,356.0
1P-M_CAA,4_11956,D,7,D07,Meas A,923.0
3M-M_CAA,4_11956,D,8,D08,Meas A,789.0
2M-M_CAA,4_11956,D,9,D09,Meas A,810.0
1M-M_CAA,4_11956,D,10,D10,Meas A,1185.0
CAA,4_11956,D,11,D11,Meas A,403.0
3S-O_Glc,4_11956,E,2,E02,Meas A,469.0
2S-O_Glc,4_11956,E,3,E03,Meas A,556.0
1S-O_Glc,4_11956,E,4,E04,Meas A,590.0
3P-O_Glc,4_11956,E,5,E05,Meas A,426.0
