Row,Column,Well,Plate,Sample,Measurement,Value,Mean,Std
A,2,A02,11937,1M_CAA,Meas A,154.0,306.0000,139.9595
A,3,A03,11937,2M_CAA,Meas A,133.0,290.0000,124.2632
A,4,A04,11937,3M_CAA,Meas A,126.0,322.5000,141.4885
A,5,A05,11937,1P_CAA,Meas A,149.0,322.2500,120.4834
A,6,A06,11937,2P_CAA,Meas A,169.0,304.0000,100.1699
A,7,A07,11937,3P_CAA,Meas A,108.0,303.0000,135.7891
A,8,A08,11937,1S_CAA,Meas A,167.0,312.5000,103.0809
A,9,A09,11937,2S_CAA,Meas A,138.0,309.2500,131.9378
A,10,A10,11937,3S_CAA,Meas A,118.0,324.0000,153.7119
A,11,A11,11937,CAA_Spc,Meas A,128.0,317.0000,133.1115
B,2,B02,11937,1M_Glc,Meas A,215.0,352.2500,107.9487
B,3,B03,11937,2M_Glc,Meas A,123.0,307.5000,124.5592
B,4,B04,11937,3M_Glc,Meas A,91.0,310.0000,162.4705
B,5,B05,11937,1P_Glc,Meas A,157.0,311.0000,125.7537
B,6,B06,11937,2P_Glc,Meas A,99.0,295.2500,133.6697
B,7,B07,11937,3P_Glc,Meas A,150.0,313.7500,110.8313
B,8,B08,11937,1S_Glc,Meas A,189.0,330.5000,118.4863
B,9,B09,11937,2S_Glc,Meas A,178.0,334.2500,131.8493
B,10,B10,11937,3S_Glc,Meas A,57.0,278.0000,149.5393
B,11,B11,11937,Glc_Spc,Meas A,150.0,299.2500,110.9996
C,2,C02,11937,1M-O_CAA,Meas A,104.0,314.7500,144.9307
C,3,C03,11937,2M-O_CAA,Meas A,106.0,325.2500,156.9785
C,4,C04,11937,3M-O_CAA,Meas A,153.0,358.5000,138.9736
C,5,C05,11937,1P-O_CAA,Meas A,161.0,341.0000,144.2521
C,6,C06,11937,2P-O_CAA,Meas A,122.0,356.5000,157.0191
C,7,C07,11937,3P-O_CAA,Meas A,149.0,292.7500,105.4905
C,8,C08,11937,1S-O_CAA,Meas A,158.0,327.0000,113.4225
C,9,C09,11937,2S-O_CAA,Meas A,130.0,303.2500,121.7823
C,10,C10,11937,3S-O_CAA,Meas A,168.0,321.7500,106.3026
C,11,C11,11937,CAA,Meas A,112.0,314.5000,142.6149
D,2,D02,11937,1M-O_Glc,Meas A,101.0,337.5000,160.4005
D,3,D03,11937,2M-O_Glc,Meas A,106.0,297.5000,134.6365
D,4,D04,11937,3M-O_Glc,Meas A,113.0,323.7500,144.4239
D,5,D05,11937,1P-O_Glc,Meas A,159.0,304.0000,106.1854
