Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.75,36.7,23.4,23.5,Meas A,0,0,De=1st Ex=Top Em=Top,1,6/4/2025 1:08:21 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,,560,735,490,427,479,415,571,837,435,329,,
B,,349,435,322,370,298,406,406,416,412,306,,
C,,602,592,478,609,419,497,553,572,500,400,,
D,,385,304,200,301,435,336,357,356,342,365,,
E,,556,448,470,328,418,516,612,403,439,,,
F,,258,350,312,377,395,377,317,449,465,,,
G,,425,457,415,482,320,490,478,360,468,,,
H,,402,342,309,401,342,335,300,388,376,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.75,36.7,23.4,23.5,Meas B,0,0,De=1st Ex=Btm Em=N/A,1,6/4/2025 1:08:21 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas B,0,32491,10,00:00:00.000,De=1st Ex=Btm Em=N/A,

Results for Meas B -  (A)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,,0.2340,0.2100,0.2210,0.1720,0.1760,0.1820,0.2080,0.2200,0.1950,0.0360,,
B,,0.0460,0.0500,0.0460,0.0450,0.0440,0.0490,0.0470,0.0520,0.0440,0.0400,,
C,,0.2120,0.2160,0.2010,0.1600,0.1200,0.1860,0.2030,0.2090,0.1960,0.0380,,
D,,0.0470,0.0470,0.0470,0.0520,0.0450,0.0500,0.0520,0.0560,0.0460,0.0420,,
E,,0.1800,0.2140,0.1830,0.1760,0.1860,0.2100,0.1920,0.2170,0.1850,,,
F,,0.0450,0.0510,0.0510,0.0500,0.0530,0.0540,0.0490,0.0540,0.0470,,,
G,,0.1830,0.2000,0.1760,0.1910,0.2000,0.2140,0.2000,0.2400,0.1920,,,
H,,0.0460,0.0470,0.0470,0.0490,0.0510,0.0460,0.0550,0.0490,0.0470,,,


Basic assay information 
Assay ID: ,,,,11944
Assay Started: ,,,,6/4/2025 1:06:03 PM
Assay Finished: ,,,,6/4/2025 1:08:32 PM
Assay Exported: ,,,,6/4/2025 1:08:34 PM
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100242
Protocol Name: ,,,,1time-mScarlet-DO NOT MODIFY IF ITS NOT YOURS
Serial#: ,,,,="23000566"



Protocol information
Protocol:
Protocol name,,,,1time-mScarlet-DO NOT MODIFY IF ITS NOT YOURS
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl
Optimized,,,,N/A

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,     ,UNK2 ,UNK3 ,UNK4 ,UNK5 ,UNK6 ,UNK7 ,UNK8 ,UNK9 ,UNK10,UNK74,     
B,     ,UNK11,UNK12,UNK13,UNK14,UNK15,UNK16,UNK17,UNK18,UNK19,UNK75,     
C,     ,UNK20,UNK21,UNK22,UNK23,UNK24,UNK25,UNK26,UNK27,UNK28,UNK76,     
D,     ,UNK29,UNK30,UNK31,UNK32,UNK33,UNK34,UNK35,UNK36,UNK37,UNK77,     
E,     ,UNK38,UNK39,UNK40,UNK41,UNK42,UNK43,UNK44,UNK45,UNK46,     ,     
F,     ,UNK47,UNK48,UNK49,UNK50,UNK51,UNK52,UNK53,UNK54,UNK55,     ,     
G,     ,UNK56,UNK57,UNK58,UNK59,UNK60,UNK61,UNK62,UNK63,UNK64,     ,     
H,     ,UNK65,UNK66,UNK67,UNK68,UNK69,UNK70,UNK71,UNK72,UNK73,     ,     

 UNK - Unknown

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate5
Picture,,,,No
