Sample,Color,Hatch,HatchColor
1M-H_CAA,#c0c0c0,O,#000000
1M-H_Glc,#c0c0c0,O,#000000
1M-M_CAA,#c0c0c0,+,#000000
1M-M_Glc,#c0c0c0,+,#000000
1M-O_CAA,#c0c0c0,.,#000000
1M-O_Glc,#c0c0c0,.,#000000
1M_CAA,#c0c0c0,,
1M_Glc,#c0c0c0,,
1P-H_CAA,#c0c0c0,O,#000000
1P-H_Glc,#c0c0c0,O,#000000
1P-M_CAA,#c0c0c0,+,#000000
1P-M_Glc,#c0c0c0,+,#000000
1P-O_CAA,#c0c0c0,.,#000000
1P-O_Glc,#c0c0c0,.,#000000
1P_CAA,#c0c0c0,,
1P_Glc,#c0c0c0,,
1S-H_CAA,#c0c0c0,O,#000000
1S-H_Glc,#c0c0c0,O,#000000
1S-M_CAA,#c0c0c0,+,#000000
1S-M_Glc,#c0c0c0,+,#000000
1S-O_CAA,#c0c0c0,.,#000000
1S-O_Glc,#c0c0c0,.,#000000
1S_CAA,#c0c0c0,,
1S_Glc,#c0c0c0,,
2M-H_CAA,#ff5151,O,#000000
2M-H_Glc,#ff5151,O,#000000
2M-M_CAA,#ff5151,+,#000000
2M-M_Glc,#ff5151,+,#000000
2M-O_CAA,#ff5151,.,#000000
2M-O_Glc,#ff5151,.,#000000
2M_CAA,#ff5151,,
2M_Glc,#ff5151,,
2P-H_CAA,#ff5151,O,#000000
2P-H_Glc,#ff5151,O,#000000
2P-M_CAA,#ff5151,+,#000000
2P-M_Glc,#ff5151,+,#000000
2P-O_CAA,#ff5151,.,#000000
2P-O_Glc,#ff5151,.,#000000
2P_CAA,#ff5151,,
2P_Glc,#ff5151,,
2S-H_CAA,#ff5151,O,#000000
2S-H_Glc,#ff5151,O,#000000
2S-M_CAA,#ff5151,+,#000000
2S-M_Glc,#ff5151,+,#000000
2S-O_CAA,#ff5151,.,#000000
2S-O_Glc,#ff5151,.,#000000
2S_CAA,#ff5151,,
2S_Glc,#ff5151,,
3M-H_CAA,#2b95ff,O,#000000
3M-H_Glc,#2b95ff,O,#000000
3M-M_CAA,#2b95ff,+,#000000
3M-M_Glc,#2b95ff,+,#000000
3M-O_CAA,#2b95ff,.,#000000
3M-O_Glc,#2b95ff,.,#000000
3M_CAA,#2b95ff,,
3M_Glc,#2b95ff,,
3P-H_CAA,#2b95ff,O,#000000
3P-H_Glc,#2b95ff,O,#000000
3P-M_CAA,#2b95ff,+,#000000
3P-M_Glc,#2b95ff,+,#000000
3P-O_CAA,#2b95ff,.,#000000
3P-O_Glc,#2b95ff,.,#000000
3P_CAA,#2b95ff,,
3P_Glc,#2b95ff,,
3S-H_CAA,#2b95ff,O,#000000
3S-H_Glc,#2b95ff,O,#000000
3S-M_CAA,#2b95ff,+,#000000
3S-M_Glc,#2b95ff,+,#000000
3S-O_CAA,#2b95ff,.,#000000
3S-O_Glc,#2b95ff,.,#000000
3S_CAA,#2b95ff,,
3S_Glc,#2b95ff,,
CAA,#7259fd,,
CAA_Spc,#9f87c8,,
Glc,#6d1a17,,
Glc_Spc,#56b66d,,
